Timestamp,Lat,Lon,Distance
2025-03-30 12:31:11,423652297,-711365884,13.1
2025-03-30 12:31:12,423652299,-711365884,13.05
2025-03-30 12:31:13,423652300,-711365886,12.99
2025-03-30 12:31:14,423652300,-711365887,12.97
2025-03-30 12:31:15,423652301,-711365887,12.94
2025-03-30 12:31:16,423652301,-711365887,12.94
2025-03-30 12:31:17,423652300,-711365889,12.92
2025-03-30 12:31:18,423652298,-711365889,12.97
2025-03-30 12:31:19,423652296,-711365890,12.99
2025-03-30 12:31:20,423652297,-711365889,12.99
2025-03-30 12:31:21,423652296,-711365889,13.01
2025-03-30 12:31:22,423652293,-711365888,13.1
2025-03-30 12:31:23,423652291,-711365888,13.15
2025-03-30 12:31:24,423652288,-711365889,13.2
2025-03-30 12:31:25,423652284,-711365890,13.27
2025-03-30 12:31:26,423652279,-711365891,13.37
2025-03-30 12:31:27,423652275,-711365892,13.44
2025-03-30 12:31:28,423652269,-711365891,13.61
2025-03-30 12:31:29,423652265,-711365889,13.74
2025-03-30 12:31:30,423652264,-711365887,13.81
2025-03-30 12:31:31,423652262,-711365885,13.9
2025-03-30 12:31:32,423652262,-711365882,13.96
2025-03-30 12:31:33,423652260,-711365879,14.07
2025-03-30 12:31:34,423652260,-711365875,14.15
2025-03-30 12:31:35,423652262,-711365872,14.16
2025-03-30 12:31:36,423652263,-711365868,14.22
2025-03-30 12:31:37,423652264,-711365864,14.27
2025-03-30 12:31:38,423652264,-711365860,14.36
2025-03-30 12:31:39,423652263,-711365856,14.46
2025-03-30 12:31:40,423652269,-711365852,14.41
2025-03-30 12:31:42,423652269,-711365845,14.56
2025-03-30 12:31:42,423652263,-711365843,14.73
2025-03-30 12:31:43,423652264,-711365843,14.71
2025-03-30 12:31:44,423652267,-711365843,14.64
2025-03-30 12:31:45,423652266,-711365842,14.69
2025-03-30 12:31:46,423652264,-711365840,14.77
2025-03-30 12:31:47,423652263,-711365838,14.84
2025-03-30 12:31:48,423652269,-711365837,14.72
2025-03-30 12:31:49,423652274,-711365837,14.61
2025-03-30 12:31:50,423652280,-711365836,14.5
2025-03-30 12:31:51,423652284,-711365836,14.42
2025-03-30 12:31:52,423652285,-711365834,14.44
2025-03-30 12:31:53,423652289,-711365834,14.35
2025-03-30 12:31:54,423652286,-711365834,14.42
2025-03-30 12:31:55,423652286,-711365833,14.44
2025-03-30 12:31:56,423652288,-711365835,14.35
2025-03-30 12:31:57,423652284,-711365835,14.44
2025-03-30 12:31:58,423652281,-711365835,14.5
2025-03-30 12:31:59,423652282,-711365835,14.48
2025-03-30 12:32:00,423652285,-711365836,14.4
2025-03-30 12:32:01,423652289,-711365835,14.33
2025-03-30 12:32:02,423652304,-711365834,14.04
2025-03-30 12:32:03,423652300,-711365834,14.13
2025-03-30 12:32:04,423652296,-711365834,14.21
2025-03-30 12:32:05,423652291,-711365833,14.33
2025-03-30 12:32:06,423652300,-711365831,14.19
2025-03-30 12:32:07,423652307,-711365828,14.12
2025-03-30 12:32:08,423652317,-711365824,14.02
2025-03-30 12:32:09,423652328,-711365817,13.98
2025-03-30 12:32:10,423652343,-711365810,13.88
2025-03-30 12:32:11,423652355,-711365802,13.88
2025-03-30 12:32:12,423652374,-711365796,13.75
2025-03-30 12:32:13,423652382,-711365792,13.74
2025-03-30 12:32:14,423652386,-711365788,13.79
2025-03-30 12:32:16,423652408,-711365786,13.59
2025-03-30 12:32:17,423652411,-711365783,13.63
2025-03-30 12:32:18,423652421,-711365781,13.59
2025-03-30 12:32:19,423652420,-711365781,13.6
2025-03-30 12:32:20,423652424,-711365780,13.58
2025-03-30 12:32:21,423652431,-711365781,13.5
2025-03-30 12:32:22,423652437,-711365783,13.39
2025-03-30 12:32:23,423652439,-711365786,13.3
2025-03-30 12:32:24,423652434,-711365790,13.24
2025-03-30 12:32:25,423652425,-711365796,13.16
2025-03-30 12:32:26,423652418,-711365800,13.12
2025-03-30 12:32:27,423652412,-711365803,13.11
2025-03-30 12:32:28,423652408,-711365809,13.0
2025-03-30 12:32:29,423652406,-711365815,12.86
2025-03-30 12:32:30,423652409,-711365822,12.65
2025-03-30 12:32:31,423652417,-711365828,12.41
2025-03-30 12:32:32,423652419,-711365836,12.18
2025-03-30 12:32:33,423652424,-711365846,11.87
2025-03-30 12:32:34,423652430,-711365852,11.65
2025-03-30 12:32:35,423652433,-711365860,11.42
2025-03-30 12:32:36,423652437,-711365866,11.22
2025-03-30 12:32:37,423652441,-711365872,11.03
2025-03-30 12:32:38,423652444,-711365876,10.9
2025-03-30 12:32:39,423652444,-711365880,10.79
2025-03-30 12:32:40,423652443,-711365883,10.72
2025-03-30 12:32:41,423652444,-711365886,10.64
2025-03-30 12:32:42,423652440,-711365889,10.6
2025-03-30 12:32:43,423652436,-711365891,10.58
2025-03-30 12:32:44,423652432,-711365894,10.55
2025-03-30 12:32:45,423652430,-711365894,10.57
2025-03-30 12:32:46,423652426,-711365894,10.61
2025-03-30 12:32:47,423652421,-711365895,10.65
2025-03-30 12:32:48,423652412,-711365895,10.76
2025-03-30 12:32:49,423652405,-711365896,10.83
2025-03-30 12:32:50,423652398,-711365894,10.98
2025-03-30 12:32:51,423652391,-711365893,11.1
2025-03-30 12:32:52,423652384,-711365892,11.24
2025-03-30 12:32:53,423652376,-711365888,11.46
2025-03-30 12:32:54,423652370,-711365886,11.61
2025-03-30 12:32:54,423652361,-711365882,11.86
2025-03-30 12:32:56,423652356,-711365879,12.02
2025-03-30 12:32:57,423652353,-711365877,12.12
2025-03-30 12:32:58,423652352,-711365875,12.18
2025-03-30 12:32:59,423652350,-711365875,12.22
2025-03-30 12:33:00,423652350,-711365871,12.31
2025-03-30 12:33:01,423652357,-711365870,12.21
2025-03-30 12:33:02,423652354,-711365871,12.24
2025-03-30 12:33:03,423652352,-711365875,12.18
2025-03-30 12:33:04,423652352,-711365881,12.04
2025-03-30 12:33:05,423652352,-711365887,11.9
2025-03-30 12:33:06,423652352,-711365887,11.9
2025-03-30 12:33:07,423652343,-711365890,12.0
2025-03-30 12:33:08,423652336,-711365890,12.14
2025-03-30 12:33:08,423652328,-711365892,12.26
2025-03-30 12:33:10,423652320,-711365894,12.38
2025-03-30 12:33:10,423652312,-711365895,12.53
2025-03-30 12:33:12,423652304,-711365897,12.66
2025-03-30 12:33:13,423652298,-711365899,12.76
2025-03-30 12:33:14,423652293,-711365898,12.89
2025-03-30 12:33:14,423652287,-711365897,13.05
2025-03-30 12:33:15,423652279,-711365895,13.28
2025-03-30 12:33:16,423652271,-711365891,13.56
2025-03-30 12:33:17,423652263,-711365887,13.83
2025-03-30 12:33:18,423652258,-711365884,14.01
2025-03-30 12:33:19,423652253,-711365881,14.2
2025-03-30 12:33:20,423652250,-711365882,14.25
2025-03-30 12:33:21,423652249,-711365884,14.24
2025-03-30 12:33:22,423652248,-711365886,14.22
2025-03-30 12:33:23,423652249,-711365890,14.12
2025-03-30 12:33:24,423652248,-711365894,14.07
2025-03-30 12:33:25,423652246,-711365896,14.08
2025-03-30 12:33:26,423652244,-711365897,14.11
2025-03-30 12:33:27,423652243,-711365898,14.12
2025-03-30 12:33:28,423652243,-711365899,14.1
2025-03-30 12:33:29,423652243,-711365898,14.12
2025-03-30 12:33:30,423652243,-711365898,14.12
2025-03-30 12:33:31,423652244,-711365896,14.13
2025-03-30 12:33:32,423652244,-711365893,14.19
2025-03-30 12:33:33,423652240,-711365891,14.33
2025-03-30 12:33:34,423652236,-711365890,14.45
2025-03-30 12:33:35,423652234,-711365888,14.54
2025-03-30 12:33:36,423652233,-711365886,14.61
2025-03-30 12:33:37,423652232,-711365885,14.65
2025-03-30 12:33:38,423652232,-711365882,14.71
2025-03-30 12:33:39,423652230,-711365874,14.91
2025-03-30 12:33:40,423652230,-711365869,15.01
2025-03-30 12:33:41,423652231,-711365867,15.02
2025-03-30 12:33:42,423652228,-711365865,15.14
2025-03-30 12:33:43,423652226,-711365862,15.25
2025-03-30 12:33:44,423652223,-711365861,15.34
2025-03-30 12:33:45,423652219,-711365859,15.48
2025-03-30 12:33:46,423652216,-711365858,15.58
2025-03-30 12:33:47,423652213,-711365857,15.68
2025-03-30 12:33:48,423652210,-711365856,15.77
2025-03-30 12:33:49,423652207,-711365856,15.85
2025-03-30 12:33:50,423652205,-711365854,15.94
2025-03-30 12:33:51,423652204,-711365853,15.98
2025-03-30 12:33:52,423652205,-711365852,15.98
2025-03-30 12:33:53,423652208,-711365853,15.88
2025-03-30 12:33:55,423652214,-711365853,15.73
2025-03-30 12:33:56,423652220,-711365854,15.55
2025-03-30 12:33:57,423652226,-711365855,15.38
2025-03-30 12:33:58,423652234,-711365844,15.4
2025-03-30 12:33:59,423652261,-711365846,14.72
2025-03-30 12:34:00,423652266,-711365847,14.58
2025-03-30 12:34:01,423652268,-711365848,14.51
2025-03-30 12:34:02,423652272,-711365835,14.7
2025-03-30 12:34:03,423652297,-711365826,14.37
2025-03-30 12:34:04,423652316,-711365820,14.13
2025-03-30 12:34:05,423652329,-711365817,13.96
2025-03-30 12:34:06,423652338,-711365816,13.82
2025-03-30 12:34:07,423652345,-711365816,13.7
2025-03-30 12:34:08,423652352,-711365814,13.64
2025-03-30 12:34:09,423652359,-711365815,13.5
2025-03-30 12:34:10,423652370,-711365819,13.24
2025-03-30 12:34:11,423652378,-711365821,13.07
2025-03-30 12:34:12,423652382,-711365826,12.89
2025-03-30 12:34:13,423652388,-711365833,12.63
2025-03-30 12:34:14,423652398,-711365841,12.3
2025-03-30 12:34:15,423652406,-711365852,11.92
2025-03-30 12:34:16,423652415,-711365863,11.53
2025-03-30 12:34:17,423652424,-711365871,11.23
2025-03-30 12:34:18,423652427,-711365879,10.99
2025-03-30 12:34:19,423652431,-711365888,10.71
2025-03-30 12:34:20,423652437,-711365897,10.42
2025-03-30 12:34:21,423652440,-711365902,10.26
2025-03-30 12:34:22,423652441,-711365906,10.14
2025-03-30 12:34:23,423652443,-711365910,10.02
2025-03-30 12:34:24,423652445,-711365913,9.92
2025-03-30 12:34:25,423652448,-711365917,9.79
2025-03-30 12:34:26,423652450,-711365920,9.69
2025-03-30 12:34:27,423652450,-711365924,9.59
2025-03-30 12:34:28,423652449,-711365927,9.52
2025-03-30 12:34:29,423652449,-711365930,9.44
2025-03-30 12:34:30,423652450,-711365932,9.38
2025-03-30 12:34:31,423652448,-711365936,9.3
2025-03-30 12:34:32,423652443,-711365937,9.32
2025-03-30 12:34:33,423652441,-711365939,9.29
2025-03-30 12:34:34,423652439,-711365942,9.24
2025-03-30 12:34:35,423652437,-711365941,9.28
2025-03-30 12:34:36,423652433,-711365938,9.41
2025-03-30 12:34:37,423652429,-711365934,9.56
2025-03-30 12:34:38,423652423,-711365930,9.73
2025-03-30 12:34:39,423652417,-711365928,9.86
2025-03-30 12:34:40,423652413,-711365926,9.97
2025-03-30 12:34:41,423652405,-711365921,10.21
2025-03-30 12:34:42,423652397,-711365914,10.5
2025-03-30 12:34:43,423652390,-711365910,10.7
2025-03-30 12:34:44,423652383,-711365903,10.99
2025-03-30 12:34:45,423652377,-711365897,11.23
2025-03-30 12:34:46,423652368,-711365892,11.5
2025-03-30 12:34:47,423652363,-711365887,11.71
2025-03-30 12:34:48,423652356,-711365883,11.92
2025-03-30 12:34:49,423652349,-711365882,12.08
2025-03-30 12:34:50,423652345,-711365878,12.24
2025-03-30 12:34:51,423652340,-711365874,12.43
